id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
496543.0;2023-01-01;domingo;03:40:00;SP;116.0;113,1;TAUBATE;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;5;1;0;0;0;4;0;2;-23,0445658;-45,58259814;SPRF-SP;DEL02-SP;UOP02-DEL02-SP;true
496709.0;2023-01-01;domingo;21:54:00;SP;116.0;105,5;TAUBATE;Transitar na contramão;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;4;0;2;0;1;1;2;3;-23,00757973;-45,51466613;SPRF-SP;DEL02-SP;UOP02-DEL02-SP;true
496840.0;2023-01-02;segunda-feira;15:16:00;SP;381.0;79;SAO PAULO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Fatais;Pleno dia;Decrescente;Sol;Múltipla;Reta;Não;8;1;1;0;6;0;1;5;-23,40319901;-46,57564699;SPRF-SP;DEL03-SP;UOP01-DEL03-SP;false
497108.0;2023-01-03;terça-feira;21:10:00;SP;116.0;504;CAJATI;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-24,78266496;-48,20865858;SPRF-SP;DEL05-SP;UOP02-DEL05-SP;false
497164.0;2023-01-04;quarta-feira;07:10:00;SP;116.0;568;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-25,055473;-48,55555216;SPRF-SP;DEL05-SP;UOP02-DEL05-SP;false
497271.0;2023-01-04;quarta-feira;18:10:00;SP;116.0;215;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão com objeto;Sem Vítimas;Anoitecer;Decrescente;Chuva;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-23,44695693;-46,45394103;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
497307.0;2023-01-04;quarta-feira;19:40:00;SP;116.0;79;ROSEIRA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-22,89420903;-45,29471098;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
497360.0;2023-01-05;quinta-feira;07:00:00;SP;116.0;89,9;PINDAMONHANGABA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-22,93930884;-45,37874708;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
497381.0;2023-01-05;quinta-feira;09:40:00;SP;116.0;215;GUARULHOS;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Múltipla;"Interseção de Vias;Em Obras   ";Sim;2;0;1;0;1;0;1;2;-23,44695693;-46,45394103;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
497479.0;2023-01-05;quinta-feira;20:20:00;SP;116.0;87,4;PINDAMONHANGABA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-22,93065267;-45,36166116;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
